user_id,recency,frequency,monetary
1,6,6,9364.00
2,0,4,7332.00
4,17,5,7770.00
4859,3,2,1712.00
2248,7,4,9669.00
2790,1,3,8148.00
1649,8,3,3883.00
193,1,3,1697.00
1032,0,5,8847.00
301,2,3,5490.00
255,15,4,4535.00
1557,18,1,1020.00
3841,13,1,412.00
2249,16,3,1464.00
503,1,3,2689.00
4801,4,3,5023.00
485,3,5,6051.00
2512,13,1,284.00
1360,6,5,7219.00
1932,3,5,3356.00
4018,24,2,3987.00
3468,6,2,3856.00
4812,1,6,9508.00
3949,23,2,4405.00
2784,3,2,1556.00
2916,21,1,2274.00
4818,10,3,3003.00
2625,12,4,2861.00
2216,18,2,1222.00
2316,2,3,2954.00
766,1,3,4680.00
2134,0,2,1751.00
4563,7,4,4530.00
2721,17,1,2118.00
3682,1,3,4760.00
968,4,3,3128.00
3653,3,4,4187.00
1301,8,4,4532.00
4114,1,6,13356.00
1018,14,1,954.00
1888,1,3,5670.00
1271,1,3,7653.00
403,15,2,1534.00
1850,10,3,5150.00
1389,2,4,7752.00
1376,11,3,4218.00
3463,0,3,4171.00
2514,2,3,3214.00
4646,9,4,7404.00
2411,4,3,4544.00
1857,15,2,2725.00
2188,1,3,4464.00
4260,6,3,6227.00
952,3,4,6713.00
3694,4,6,9094.00
1344,27,1,2134.00
180,7,3,5028.00
269,1,3,3008.00
655,11,4,8925.00
1265,1,2,1309.00
4698,28,1,1184.00
1230,0,4,5074.00
4274,9,4,7868.00
4949,14,3,4503.00
1199,5,3,4996.00
4105,7,4,5780.00
365,5,1,614.00
3533,4,6,16107.00
381,28,1,2111.00
1496,22,2,3794.00
2162,3,2,1637.00
3832,19,2,3160.00
3761,0,8,12476.00
410,0,5,11131.00
4815,3,6,10014.00
2992,2,2,2404.00
3389,8,3,3294.00
4264,0,2,623.00
3236,13,2,3780.00
1684,4,4,6360.00
1754,9,3,2169.00
4366,3,4,8234.00
3713,2,2,2005.00
1503,2,5,2746.00
3135,6,2,3621.00
3527,7,2,1694.00
320,16,1,1018.00
2127,9,2,1723.00
1856,5,3,3820.00
3424,2,4,8918.00
4518,7,6,9012.00
3505,2,2,1543.00
1824,26,2,2651.00
2101,2,2,2847.00
92,9,2,1815.00
1104,12,2,1645.00
345,1,4,5631.00
1780,4,4,5630.00
4942,21,1,1944.00
1393,3,2,2141.00
2012,29,1,894.00
1858,2,4,5740.00
1590,3,4,3477.00
2410,10,3,5845.00
4259,2,5,5696.00
511,5,7,9604.00
1379,5,7,6988.00
3807,20,1,570.00
3937,1,2,2405.00
1936,13,3,5488.00
4791,4,5,4597.00
2934,4,4,2398.00
3990,1,7,7383.00
1099,10,2,2319.00
991,8,3,5313.00
4121,7,3,5130.00
2111,15,2,3237.00
2472,9,2,4273.00
1430,11,2,3738.00
1209,12,1,414.00
