user_id,signup_date,country,device_type,marketing_channel
1,2023-06-05,India,desktop,referral
2,2023-02-06,India,mobile,ads
3,2023-04-14,India,mobile,organic
4,2023-01-14,UK,desktop,organic
5,2023-05-29,USA,desktop,organic
6,2023-02-20,India,mobile,referral
7,2023-06-17,India,mobile,referral
8,2023-05-20,USA,mobile,ads
9,2023-03-27,UK,desktop,referral
10,2023-04-27,UK,desktop,ads
11,2023-04-23,USA,desktop,ads
12,2023-02-25,India,desktop,ads
13,2023-06-16,India,desktop,referral
14,2023-02-05,India,desktop,referral
15,2023-05-13,UK,desktop,referral
16,2023-06-12,USA,desktop,organic
17,2023-03-31,India,mobile,organic
18,2023-01-11,USA,desktop,referral
19,2023-05-20,UK,mobile,referral
20,2023-01-08,USA,desktop,organic
21,2023-06-16,UK,mobile,ads
22,2023-02-21,India,mobile,organic
23,2023-03-08,USA,desktop,organic
24,2023-02-10,India,mobile,organic
25,2023-01-25,India,mobile,organic
26,2023-05-30,UK,desktop,organic
27,2023-02-04,UK,desktop,organic
28,2023-04-07,India,mobile,referral
29,2023-01-09,USA,desktop,organic
30,2023-04-29,USA,desktop,referral
31,2023-01-09,UK,desktop,ads
32,2023-05-27,USA,mobile,referral
33,2023-06-11,USA,desktop,referral
34,2023-05-29,India,desktop,referral
35,2023-06-17,India,desktop,ads
36,2023-05-10,India,desktop,organic
37,2023-01-14,USA,desktop,organic
38,2023-02-04,USA,desktop,referral
39,2023-04-04,UK,desktop,organic
40,2023-01-19,India,desktop,referral
41,2023-01-19,UK,desktop,referral
42,2023-03-24,India,desktop,ads
43,2023-03-19,USA,desktop,referral
44,2023-06-28,UK,mobile,organic
45,2023-01-14,UK,mobile,organic
46,2023-05-23,USA,mobile,referral
47,2023-01-04,UK,desktop,referral
48,2023-04-07,UK,desktop,organic
49,2023-03-13,UK,mobile,referral
50,2023-02-01,USA,mobile,referral
51,2023-06-23,UK,desktop,organic
52,2023-06-26,India,desktop,referral
53,2023-04-09,USA,desktop,ads
54,2023-02-28,USA,desktop,ads
55,2023-02-06,UK,desktop,ads
56,2023-02-20,USA,desktop,organic
57,2023-04-04,USA,mobile,ads
58,2023-04-10,USA,mobile,referral
59,2023-02-10,USA,desktop,ads
60,2023-01-07,UK,desktop,organic
61,2023-02-13,USA,desktop,referral
62,2023-02-08,UK,desktop,organic
63,2023-01-30,UK,mobile,organic
64,2023-02-10,India,mobile,ads
65,2023-04-29,India,desktop,ads
66,2023-06-14,USA,mobile,referral
67,2023-03-19,UK,mobile,ads
68,2023-04-11,UK,desktop,ads
69,2023-02-06,India,mobile,ads
70,2023-06-14,India,desktop,referral
71,2023-03-24,UK,desktop,ads
72,2023-04-09,UK,mobile,referral
73,2023-04-21,USA,desktop,ads
74,2023-05-03,USA,desktop,referral
75,2023-06-18,USA,mobile,referral
76,2023-05-05,India,mobile,referral
77,2023-05-13,UK,desktop,referral
78,2023-03-02,UK,desktop,ads
79,2023-01-23,UK,mobile,organic
80,2023-04-29,UK,desktop,referral
81,2023-04-26,India,desktop,organic
82,2023-02-21,USA,mobile,ads
83,2023-03-30,UK,mobile,referral
84,2023-03-19,USA,mobile,referral
85,2023-05-24,UK,mobile,organic
86,2023-01-28,UK,mobile,referral
87,2023-03-17,India,desktop,referral
88,2023-05-01,India,mobile,referral
89,2023-06-16,UK,mobile,organic
90,2023-05-25,UK,desktop,ads
91,2023-04-30,UK,desktop,referral
92,2023-03-07,UK,mobile,ads
93,2023-01-15,USA,desktop,ads
94,2023-03-04,UK,desktop,referral
95,2023-05-12,UK,mobile,referral
96,2023-06-07,India,desktop,referral
97,2023-05-24,USA,desktop,ads
98,2023-05-01,India,mobile,organic
99,2023-05-06,USA,desktop,organic
100,2023-06-20,India,desktop,ads
101,2023-05-02,UK,desktop,referral
102,2023-01-30,USA,mobile,ads
103,2023-04-02,USA,desktop,organic
104,2023-01-22,UK,mobile,organic
105,2023-01-05,USA,mobile,referral
106,2023-04-20,India,desktop,ads
107,2023-05-22,UK,mobile,ads
108,2023-01-19,UK,desktop,ads
109,2023-06-12,USA,desktop,referral
110,2023-01-11,UK,desktop,organic
111,2023-02-02,India,desktop,organic
112,2023-04-03,India,desktop,referral
113,2023-03-29,USA,desktop,referral
114,2023-06-20,USA,mobile,referral
115,2023-06-02,USA,desktop,organic
116,2023-05-24,India,mobile,organic
117,2023-04-15,UK,desktop,referral
118,2023-06-25,India,desktop,referral
119,2023-02-16,USA,mobile,referral
120,2023-05-29,USA,desktop,organic
121,2023-05-06,UK,desktop,ads
122,2023-03-06,UK,mobile,ads
123,2023-05-10,USA,mobile,referral
124,2023-02-19,UK,desktop,organic
125,2023-01-08,USA,mobile,ads
126,2023-01-23,UK,desktop,organic
127,2023-05-11,India,desktop,organic
128,2023-05-10,UK,desktop,ads
129,2023-04-03,USA,mobile,organic
130,2023-05-20,USA,desktop,organic
131,2023-03-16,India,desktop,referral
132,2023-05-16,USA,desktop,referral
133,2023-06-06,UK,mobile,referral
134,2023-03-14,USA,desktop,organic
135,2023-05-21,India,mobile,organic
136,2023-04-06,UK,desktop,ads
137,2023-02-21,India,mobile,ads
138,2023-06-21,UK,mobile,referral
139,2023-04-18,USA,mobile,referral
140,2023-02-19,India,mobile,ads
141,2023-06-16,UK,desktop,referral
142,2023-03-05,UK,desktop,referral
143,2023-02-24,UK,desktop,referral
144,2023-05-15,UK,mobile,referral
145,2023-04-14,UK,mobile,referral
146,2023-04-10,UK,mobile,ads
147,2023-03-01,USA,mobile,ads
148,2023-02-20,UK,desktop,organic
149,2023-04-15,UK,mobile,ads
150,2023-03-19,India,desktop,referral
151,2023-05-22,UK,mobile,organic
152,2023-05-15,India,mobile,organic
153,2023-01-11,UK,mobile,organic
154,2023-01-26,India,mobile,ads
155,2023-03-18,USA,desktop,organic
156,2023-01-18,India,desktop,ads
157,2023-06-29,UK,mobile,ads
158,2023-01-07,UK,desktop,ads
159,2023-01-24,USA,desktop,ads
160,2023-04-11,India,desktop,organic
161,2023-05-14,USA,mobile,referral
162,2023-03-19,USA,mobile,organic
163,2023-01-04,UK,mobile,referral
164,2023-01-28,USA,mobile,organic
165,2023-06-07,India,desktop,organic
166,2023-02-12,UK,mobile,referral
167,2023-05-14,UK,mobile,referral
168,2023-01-18,UK,mobile,ads
169,2023-06-13,India,mobile,organic
170,2023-03-08,USA,desktop,referral
171,2023-05-19,USA,desktop,organic
172,2023-05-19,USA,desktop,organic
173,2023-02-24,UK,desktop,organic
174,2023-01-08,USA,desktop,ads
175,2023-02-09,USA,desktop,ads
176,2023-03-18,UK,mobile,organic
177,2023-01-15,USA,desktop,organic
178,2023-06-24,USA,desktop,organic
179,2023-04-10,USA,mobile,organic
180,2023-04-29,India,mobile,ads
181,2023-05-07,UK,desktop,organic
182,2023-03-08,USA,desktop,referral
183,2023-06-18,UK,desktop,organic
184,2023-02-02,UK,desktop,organic
185,2023-06-06,UK,desktop,organic
186,2023-06-17,India,mobile,organic
187,2023-05-08,India,desktop,ads
188,2023-02-18,India,desktop,referral
189,2023-03-01,India,desktop,organic
190,2023-05-16,India,mobile,referral
191,2023-05-17,USA,desktop,referral
192,2023-06-06,UK,desktop,organic
193,2023-05-17,UK,desktop,organic
194,2023-02-08,UK,desktop,referral
195,2023-05-17,USA,desktop,organic
196,2023-05-06,India,desktop,organic
197,2023-01-04,India,mobile,referral
198,2023-02-11,UK,desktop,ads
199,2023-04-28,USA,mobile,organic
200,2023-04-04,USA,desktop,organic
201,2023-02-09,USA,mobile,organic
202,2023-01-29,India,mobile,ads
203,2023-05-15,USA,desktop,ads
204,2023-01-23,USA,mobile,referral
205,2023-05-27,India,desktop,organic
206,2023-03-20,India,mobile,referral
207,2023-05-06,UK,desktop,organic
208,2023-01-19,India,mobile,ads
209,2023-05-30,USA,mobile,ads
210,2023-05-18,India,desktop,referral
211,2023-05-29,USA,mobile,ads
212,2023-01-27,USA,desktop,referral
213,2023-06-05,USA,mobile,ads
214,2023-05-23,India,desktop,ads
215,2023-04-13,USA,desktop,ads
216,2023-03-08,USA,desktop,organic
217,2023-05-13,UK,desktop,organic
218,2023-01-28,India,desktop,ads
219,2023-04-18,USA,mobile,referral
220,2023-06-24,USA,mobile,organic
221,2023-01-12,USA,desktop,organic
222,2023-01-17,India,mobile,ads
223,2023-03-13,India,mobile,ads
224,2023-01-12,USA,mobile,ads
225,2023-06-12,USA,mobile,ads
226,2023-03-12,USA,mobile,referral
227,2023-03-15,UK,mobile,referral
228,2023-01-02,India,mobile,organic
229,2023-03-19,India,desktop,organic
230,2023-03-22,India,desktop,referral
231,2023-02-11,UK,desktop,ads
232,2023-05-22,UK,desktop,organic
233,2023-01-15,India,desktop,ads
234,2023-02-24,India,desktop,organic
235,2023-06-22,India,mobile,ads
236,2023-02-04,India,mobile,ads
237,2023-06-29,India,desktop,referral
238,2023-06-26,UK,desktop,organic
239,2023-05-22,USA,mobile,organic
240,2023-01-17,USA,mobile,organic
241,2023-03-03,India,desktop,ads
242,2023-01-31,USA,mobile,referral
243,2023-02-15,UK,mobile,organic
244,2023-06-02,India,desktop,organic
245,2023-04-19,UK,desktop,referral
246,2023-02-23,USA,mobile,referral
247,2023-06-08,USA,mobile,organic
248,2023-04-19,UK,mobile,ads
249,2023-05-11,India,desktop,referral
250,2023-03-20,USA,desktop,organic
